title,abstract,doi,year,author,journal,source,normalized_title
Biological invasions alter the structure of a tropical freshwater food web.,"Biological invasions are expected to alter food web structure, but there are limited empirical data directly comparing invaded versus uninvaded food webs, particularly in species-rich, tropical systems. We characterize for the first time the food web of Lake Gatun-a diverse and highly invaded tropical freshwater lake within the Panama Canal. We used stable isotope analysis to reconstruct the trophic structure of the fish community of Lake Gatun and to compare it to that of a minimally invaded reference lake, Lake Bayano. We found significant differences between the trophic structures of these two Neotropical lakes, notably that Lake Gatun's fish community was characterized by a longer food chain, greater isotopic diversity, a broader range of trophic positions and body sizes, and shifts in the isotopic positions of several native taxa relative to Lake Bayano. The degree of isotopic overlap between native and non-native trophic guilds in Lake Gatun was variable, with herbivores exhibiting the lowest (20%-29%) overlap and carnivores the greatest (81%-100%). Overall, our results provide some of the first empirical evidence for the ways in which multiple introduced and native species may partition isotopic space in a species-rich tropical freshwater food web.",10.1002/ecy.4173 [doi],2023 Dec,Sharpe DMT and Valverde MP and De León LF and Hendry AP and Torchin ME,Ecology,PubMed,a alter biological food freshwater invasions of structure the tropical web
Food Web Structures and Mercury Exposure Pathway to Fish in Minamata Bay.,"We analyzed total mercury content (THg) and carbon (δ(13)C) and nitrogen (δ(15)N) stable isotope ratios in fish, subtidal macrobenthos, and particulate organic matter (POM) as a proxy for pelagic phytoplankton and attached microalgae as a proxy for microphytobenthos to investigate the mercury exposure pathway in fish. For four seasons, samples of the above-mentioned organisms were collected on five occasions (July and October 2018 and January, April, and July 2019) in Minamata Bay. Isotope analysis showed that Minamata Bay food web structures were almost entirely fueled by microphytobenthos. The THg values of the fish and macrobenthos species were positively correlated with their δ(13)C. This indicates that their diets, which were highly fueled by microphytobenthos, led to high THg bioaccumulation in both macrobenthos and fish. The feeding habits of fishes differ depending on the species, and they prey on organisms of many taxa, including fish (mainly Japanese anchovy), crabs, shrimp, copepods, annelids, and algae. Fish species that preyed on benthic crustaceans had high THg. These results suggest that the main pathway of Hg bioaccumulation in fish from Minamata Bay is the benthic food chain, which is primarily linked to benthic crustaceans fueled by microphytobenthos.",10.1007/s00244-023-01040-y [pii] and 10.1007/s00244-023-01040-y [doi],2023 Nov,Yoshino K and Yamada K and Kanaya G and Komorita T and Okamoto K and Tanaka M and Tada Y and Henmi Y and Yamamoto M,Archives of environmental contamination and toxicology,PubMed,and bay exposure fish food in mercury minamata pathway structures to web
Trophic downgrading of an adaptable carnivore in an urbanising landscape.,"Urbanisation critically alters wildlife habitat and resource distribution, leading to shifts in trophic dynamics. The loss of apex predators in human-transformed landscapes can result in changes in the ecological roles of the remaining mesocarnivores. Decreased top-down control together with increased bottom-up forcing through greater availability of anthropogenic foods can result in a predation paradox. Understanding these changes is important for conserving ecological function and biodiversity in rapidly urbanising systems. Here, we use stable isotope analysis to provide insight into longer term changes in trophic position, niche width and overlap of an elusive, medium-sized urban adapter, the caracal (Caracal caracal) in and around the city of Cape Town, South Africa. Using fur samples (n = 168) from individuals along a gradient of urbanisation we find that overall caracals have a broad isotopic dietary niche that reflects their large variation in resource use. When accounting for underlying environmental differences, the﻿ intensity of anthropogenic pressure, measured using the Human Footprint Index (HFI), explained variation in both food subsidy use (δ(13)C values) and trophic status (δ(15)N values). The significantly higher δ(13)C values (P < 0.01) and lower δ(15)N values (P < 0.001) of caracals in more urbanised areas suggest that predator subsidy consumption occurs via predictable, anthropogenic resource subsidies to synanthropic prey. These prey species are predominantly primary consumers, resulting in shifts in diet composition towards lower trophic levels. Further, caracals using areas with higher HFI had narrower isotope niches than those in less impacted areas, likely due to their hyperfocus on a few lower trophic level prey species. This pattern of niche contraction in urban areas is retained when accounting for caracal demographics, including sex and age. The removal of apex predators in human-transformed landscapes together with reliable resource availability, including abundant prey, may paradoxically limit the ecological influence of the remaining predators, and bring about a degree of predator trophic downgrading. The dampening of top-down control, and thus ecosystem regulation, likely points to widespread disruption of trophic dynamics in rapidly developing areas globally.",10.1038/s41598-023-48868-x [pii] and 48868 [pii] and 10.1038/s41598-023-48868-x [doi],2023 Dec 7,Leighton GRM and Froneman W and Serieys LEK and Bishop JM,Scientific reports,PubMed,adaptable an an carnivore downgrading in landscape of trophic urbanising
Systematic variation in food web body-size structure linked to external subsidies.,"The relationship between body mass (M) and size class abundance (N) depicts patterns of community structure and energy flow through food webs. While the general assumption is that M and N scale linearly (on log-log axes), nonlinearity is regularly observed in natural systems, and is theorized to be driven by nonlinear scaling of trophic level (TL) with M resulting in the rapid transfer of energy to consumers in certain size classes. We tested this hypothesis with data from 31 stream food webs. We predicted that allochthonous subsidies higher in the web results in nonlinear M-TL relationships and systematic abundance peaks in macroinvertebrate and fish size classes (latter containing salmonids), that exploit terrestrial plant material and terrestrial invertebrates, respectively. Indeed, both M-N and M-TL significantly deviated from linear relationships and the observed curvature in M-TL scaling was inversely related to that observed in M-N relationships. Systemic peaks in M-N, and troughs in M-TL occurred in size classes dominated by generalist invertebrates, and brown trout. Our study reveals how allochthonous resources entering high in the web systematically shape community size structure and demonstrates the relevance of a generalized metabolic scaling model for understanding patterns of energy transfer in energetically 'open' food webs.",rsbl20200798 [pii] and 10.1098/rsbl.2020.0798 [doi],2021 Mar,Perkins DM and Durance I and Jackson M and Jones JI and Lauridsen RB and Layer-Dobra K and Reiss J and Thompson MSA and Woodward G,Biology letters,PubMed,bodysize external food in linked structure subsidies systematic to variation web
Open riparian canopy and nutrient pollution interactively decrease trophic redundancy and allochthonous resource in streams.,"Riparian deforestation, which leads to increase in light intensity and excessive nutrient loading in waterways, are two pervasive environmental stressors in the stream ecosystems. Both have been found to alter basal resource availability and consequently stream food webs. However, their interactive effects on trophic structure in stream food webs are unclear. Here, we manipulated light intensity and nutrient availability in three headwater streams to evaluate their effects on consumer diet composition and food web characteristics (i.e., trophic diversity and redundancy) with stable isotope analysis. Dietary analysis revealed that the relative contribution of stream periphyton to the diets of macroinvertebrates increased, while that of allochthonous resources, specifically leaf litter from the terrestrial ecosystems in the catchment, decreased in response to open canopy and nutrient enrichment in the streams. The trophic diversity also increased with the elevated light intensity and nutrient availability, while the trophic redundancy decreased, suggesting a reduced ability of the stream ecosystems to resist environmental changes. Nutrient enrichment also increased the δ(15)N ratios of periphyton and macroinvertebrates, indicating potential δ(15)N enrichment of stream benthos by nitrogen pollution. Our results suggested that an increase in light intensity due to riparian canopy openness and stream water nutrient enrichment primarily from human activities have interactive effects on resource flow and trophic structure in stream food webs.",S0013-9351(23)01100-3 [pii] and 10.1016/j.envres.2023.116296 [doi],2023 Aug 15,Zhang J and Tan X and Zhang Q,Environmental research,PubMed,allochthonous and and canopy decrease in interactively nutrient open pollution redundancy resource riparian streams trophic
Diet Evolution and Habitat Contraction of Giant Pandas via Stable Isotope Analysis.,"The ancestral panda Ailurarctos lufengensis, excavated from the late Miocene, is thought to be carnivorous or omnivorous [1]. Today, giant pandas exclusively consume bamboo and have distinctive tooth, skull, and muscle characteristics adapted to a tough and fibrous bamboo diet during their long evolution [1, 2]. A special feature, the pseudo-thumb, has evolved to permit the precise and efficient grasping of bamboo [3, 4]. Unlike those of extant pandas, little is known about the diet and habitat preferences of extinct pandas. Prevailing studies suggest that the panda shifted to specialized bamboo feeding in the Pleistocene [5, 6]; however, this remains questionable. Pandas now survive in a fraction of their historical habitat [7], but no specific information has been reported. Stable isotope analyses can be used to understand diet- and habitat-related changes in animals [8]. Isotopic signals in bone collagen reflect dietary compositions of ancient human diets [9, 10] and dietary changes between historical and modern animal populations [11, 12]. Here, we conduct stable isotope analyses of bone and tooth samples from ancient and modern pandas and from sympatric fauna. We show that pandas have had a diet dominated by C(3) resources over time and space and that trophic niches of ancient and modern pandas are distinctly different. The isotopic trophic and ecological niche widths of ancient pandas are approximately three times larger than those of modern pandas, suggesting that ancient pandas possibly had more complex diets and habitats than do their modern counterparts. Our findings provide insight into the dietary evolution and habitat contraction of pandas.",S0960-9822(19)30004-1 [pii] and 10.1016/j.cub.2018.12.051 [doi],2019 Feb 18,Han H and Wei W and Hu Y and Nie Y and Ji X and Yan L and Zhang Z and Shi X and Zhu L and Luo Y and Chen W and Wei F,Current biology : CB,PubMed,analysis and contraction diet evolution giant habitat isotope of pandas stable via
Aquatic food web expansion and trophic redundancy along the Rocky Mountain-Great Plains ecotone.,"Changing ecological conditions along environmental gradients influence patterns of biodiversity and ecosystem functioning. However, how networks of interacting species respond to these changes remains unclear. We quantified aquatic food webs along longitudinal stream gradients spanning the Rocky Mountain-Great Plains ecotone using community composition, functional traits, and stable isotopes. We predicted that increasing ecosystem size, productivity, and species richness along the gradient would positively influence aquatic trophic diversity (e.g., expanded vertical and horizontal trophic niche breadths). We also predicted that trophic redundancy among fish species would decrease moving downstream as species partition food resources (e.g., reduced trophic niche overlap). Consumer stable isotope data (δ(13) C and δ(15) N) revealed nonlinear changes in trophic diversity along the gradient. Invertebrate trophic diversity had a dome-shaped relationship with the gradient, strongly linked to an expanding then contracting δ(13) C range. Fish trophic diversity initially increased and then plateaued downstream, despite linearly expanding δ(13) C and δ(15) N ranges. Trophic redundancy within the fish community decreased downstream along the gradient. However, trophic redundancy also showed a nonlinear relationship with fish species richness; it initially declined, then began to increase when more than nine species were present, indicating a shift from niche partitioning to niche packing at intermediate species richness levels. This result suggests that while δ(13) C and δ(15) N ranges for fish communities increased across the gradient, niche packing within communities in the Great Plains caused overall trophic diversity to saturate. Our results demonstrate that food web structure along stream gradients reflects an interaction between factors that decrease trophic redundancy, such as increased living space and niche partitioning, versus factors that increase trophic redundancy, such as increased species richness and niche packing. Our study helps to explain how multiple mechanisms shape food web properties along longitudinal stream gradients, and where niche partitioning or niche packing may be dominant. Understanding the functional roles of organisms across similar environmental gradients in other ecosystems will be increasingly important because they determine how food webs, and thus ecosystem function, will respond to environmental change, biodiversity loss, or species invasions.",10.1002/ecy.4103 [doi],2023 Jul,Maitland BM and Rahel FJ,Ecology,PubMed,along and aquatic ecotone expansion food mountaingreat plains redundancy rocky the trophic web
Sustained use of marine subsidies promotes niche expansion in a wild felid.,"The use of marine subsidies by terrestrial predators can facilitate substantial transfer of nutrients between marine and terrestrial ecosystems. Marine resource subsidies may have profound effects on predator ecology, influencing population and niche dynamics. Expanding niches of top consumers can impact ecosystem resilience and interspecific interactions, affecting predator-prey dynamics and competition. We investigate the occurrence, importance, and impact of marine resources on trophic ecology and niche dynamics in a highly generalist predator, the caracal (Caracal caracal), on the Cape Peninsula, South Africa. Caracals have flexible diets, feeding across a wide range of terrestrial and aquatic prey. We use carbon and nitrogen stable isotope analysis of fur samples (n = 75) to understand trophic position and niche shifts in coastal and inland foragers, as well as the implications of a diet rich in marine resources. We found significant differences in isotope signatures between these groups, with higher δ(13)C (P < 0.05) and δ(15)N values (P < 0.01) in coastal foragers. Isotope mixing models reveal that these elevated signatures were due to non-terrestrial food subsidies, where approximately a third of coastal foraging caracal diet comprised marine prey. The addition of marine prey species to diet increased both the trophic level and isotope niche size of coastal foraging caracals, with potential impacts on prey populations and competition. Our results suggest that marine prey are an important dietary resource for coastal foraging caracals, where seabirds, including two endangered species, are a major component of their diet. However, there are likely risks associated with these resource benefits, as routine consumption of seabirds is linked with higher pollutant burdens, particularly metals. Increased encounters between this terrestrial predator and seabirds may be a result of increased mainland colonies due to changes in habitat availability and the highly opportunistic and generalist foraging behaviour of a native predator.",S0048-9697(24)00046-9 [pii] and 10.1016/j.scitotenv.2024.169912 [doi],2024 Jan 5,Leighton GRM and Froneman PW and Serieys LEK and Bishop JM,The Science of the total environment,PubMed,a expansion felid in marine niche of promotes subsidies sustained use wild
Subsidy accessibility drives asymmetric food web responses.,"Global change is fundamentally altering flows of natural and anthropogenic subsidies across space and time. After a pointed call for research on subsidies in the 1990s, an industry of empirical work has documented the ubiquitous role subsidies play in ecosystem structure, stability, and function. Here, we argue that physical constraints (e.g., water temperature) and species traits can govern a species' accessibility to resource subsidies, which has been largely overlooked in the subsidy literature. We examined the input of a high-quality, point-source anthropogenic subsidy (aquaculture feed) into a recipient freshwater lake food web. Using a combined bio-tracer approach, we detect a gradient in accessibility of the anthropogenic subsidy within the surrounding food web driven by the thermal preferences of three constituent species, effectively rewiring the recipient lake food web. Because aquaculture is predicted to increase significantly in coming decades to support growing human populations, and global change is altering temperature regimes, then this form of food web alteration may be expected to occur frequently. We argue that subsidy accessibility is a key characteristic of recipient food web interactions that must be considered when trying to understand the impacts of subsidies on ecosystem stability and function under continued global change.",10.1002/ecy.3817 [doi],2022 Dec,Gutgesell M and McMeans BC and Guzzo MM and de Groot V and Fisk AT and Johnson TB and McCann KS,Ecology,PubMed,accessibility asymmetric drives food responses subsidy web
Increased sea ice cover alters food web structure in East Antarctica.,"In recent years, sea ice cover along coasts of East Antarctica has tended to increase. To understand ecological implications of these environmental changes, we studied benthic food web structure on the coasts of Adélie Land during an event of unusually high sea ice cover (i.e. two successive austral summers without seasonal breakup). We used integrative trophic markers (stable isotope ratios of carbon, nitrogen and sulfur) to build ecological models and explored feeding habits of macroinvertebrates. In total, 28 taxa spanning most present animal groups and functional guilds were investigated. Our results indicate that the absence of seasonal sea ice breakup deeply influenced benthic food webs. Sympagic algae dominated the diet of many key consumers, and the trophic levels of invertebrates were low, suggesting omnivore consumers did not rely much on predation and/or scavenging. Our results provide insights about how Antarctic benthic consumers, which typically live in an extremely stable environment, might adapt their feeding habits in response to sudden changes in environmental conditions and trophic resource availability. They also show that local and/or global trends of sea ice increase in Antarctica have the potential to cause drastic changes in food web structure, and therefore to impact benthic communities.",10.1038/s41598-019-44605-5 [pii] and 44605 [pii] and 10.1038/s41598-019-44605-5 [doi],2019 May 30,Michel LN and Danis B and Dubois P and Eleaume M and Fournier J and Gallut C and Jane P and Lepoint G,Scientific reports,PubMed,alters antarctica cover east food ice in increased sea structure web
